record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight,record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
1.0,7.0,16.0,1977.0,2.0,NL,M,32.0,,,,,,,,,,
2.0,7.0,16.0,1977.0,3.0,NL,M,33.0,,,,,,,,,,
3.0,7.0,16.0,1977.0,2.0,DM,F,37.0,,,,,,,,,,
4.0,7.0,16.0,1977.0,7.0,DM,M,36.0,,,,,,,,,,
5.0,7.0,16.0,1977.0,3.0,DM,M,35.0,,,,,,,,,,
6.0,7.0,16.0,1977.0,1.0,PF,M,14.0,,,,,,,,,,
7.0,7.0,16.0,1977.0,2.0,PE,F,,,,,,,,,,,
8.0,7.0,16.0,1977.0,1.0,DM,M,37.0,,,,,,,,,,
9.0,7.0,16.0,1977.0,1.0,DM,F,34.0,,,,,,,,,,
10.0,7.0,16.0,1977.0,6.0,PF,F,20.0,,,,,,,,,,
,,,,,,,,,35540.0,12.0,31.0,2002.0,15.0,PB,F,26.0,23.0
,,,,,,,,,35541.0,12.0,31.0,2002.0,15.0,PB,F,24.0,31.0
,,,,,,,,,35542.0,12.0,31.0,2002.0,15.0,PB,F,26.0,29.0
,,,,,,,,,35543.0,12.0,31.0,2002.0,15.0,PB,F,27.0,34.0
,,,,,,,,,35544.0,12.0,31.0,2002.0,15.0,US,,,
,,,,,,,,,35545.0,12.0,31.0,2002.0,15.0,AH,,,
,,,,,,,,,35546.0,12.0,31.0,2002.0,15.0,AH,,,
,,,,,,,,,35547.0,12.0,31.0,2002.0,10.0,RM,F,15.0,14.0
,,,,,,,,,35548.0,12.0,31.0,2002.0,7.0,DO,M,36.0,51.0
,,,,,,,,,35549.0,12.0,31.0,2002.0,5.0,,,,
